datetime,CDD,CWD,Prcp1,SDII,,,year,month
1973-09-30,8.0,2.0,23.333333333333332,13.704285714285716,1973,Sep,1973,Sep
1973-10-31,9.0,2.0,22.58064516129032,8.651428571428571,1973,Oct,1973,Oct
1973-11-30,5.0,4.0,43.333333333333336,5.2761538461538455,1973,Nov,1973,Nov
1973-12-31,3.0,5.0,61.29032258064516,9.583157894736843,1973,Dec,1973,Dec
1974-01-31,3.0,3.0,51.61290322580645,5.194374999999999,1974,Jan,1974,Jan
1974-02-28,10.0,2.0,21.428571428571427,8.343333333333332,1974,Feb,1974,Feb
1974-03-31,5.0,4.0,41.935483870967744,8.866923076923076,1974,Mar,1974,Mar
1974-04-30,7.0,3.0,43.333333333333336,8.235384615384614,1974,Apr,1974,Apr
1974-05-31,6.0,3.0,45.16129032258064,7.9750000000000005,1974,May,1974,May
1974-06-30,6.0,3.0,33.33333333333333,6.979000000000001,1974,Jun,1974,Jun
1974-07-31,8.0,3.0,38.70967741935484,12.756666666666668,1974,Jul,1974,Jul
1974-08-31,9.0,3.0,19.35483870967742,6.09,1974,Aug,1974,Aug
1974-09-30,5.0,2.0,36.666666666666664,4.5,1974,Sep,1974,Sep
1974-10-31,9.0,1.0,19.35483870967742,4.7749999999999995,1974,Oct,1974,Oct
1974-11-30,8.0,3.0,36.666666666666664,8.845454545454546,1974,Nov,1974,Nov
1974-12-31,4.0,4.0,45.16129032258064,7.925714285714286,1974,Dec,1974,Dec
1975-01-31,4.0,4.0,45.16129032258064,5.891428571428572,1975,Jan,1975,Jan
1975-02-28,4.0,3.0,42.857142857142854,4.845000000000001,1975,Feb,1975,Feb
1975-03-31,4.0,3.0,38.70967741935484,7.807500000000001,1975,Mar,1975,Mar
1975-04-30,12.0,4.0,20.0,11.966666666666667,1975,Apr,1975,Apr
1975-05-31,9.0,2.0,25.806451612903224,9.716249999999999,1975,May,1975,May
1975-06-30,11.0,4.0,30.0,10.124444444444444,1975,Jun,1975,Jun
1975-07-31,6.0,3.0,41.935483870967744,12.557692307692308,1975,Jul,1975,Jul
1975-08-31,8.0,3.0,32.25806451612903,9.257,1975,Aug,1975,Aug
1975-09-30,3.0,4.0,51.724137931034484,10.819999999999999,1975,Sep,1975,Sep
1975-10-31,7.0,6.0,41.935483870967744,7.383076923076923,1975,Oct,1975,Oct
1975-11-30,6.0,3.0,36.666666666666664,12.444545454545453,1975,Nov,1975,Nov
1975-12-31,3.0,3.0,45.16129032258064,9.94,1975,Dec,1975,Dec
1976-01-31,3.0,6.0,54.83870967741935,8.378823529411765,1976,Jan,1976,Jan
1976-02-29,3.0,5.0,62.06896551724138,7.76111111111111,1976,Feb,1976,Feb
1976-03-31,3.0,5.0,54.83870967741935,6.619411764705882,1976,Mar,1976,Mar
1976-04-30,9.0,3.0,30.0,10.08222222222222,1976,Apr,1976,Apr
1976-05-31,7.0,4.0,48.38709677419355,8.425333333333334,1976,May,1976,May
1976-06-30,4.0,3.0,40.0,7.339166666666665,1976,Jun,1976,Jun
1976-07-31,5.0,3.0,41.935483870967744,8.453846153846154,1976,Jul,1976,Jul
1976-08-31,4.0,3.0,41.935483870967744,6.614615384615385,1976,Aug,1976,Aug
1976-09-30,6.0,2.0,40.0,9.61,1976,Sep,1976,Sep
1976-10-31,7.0,2.0,32.25806451612903,12.058000000000002,1976,Oct,1976,Oct
1976-11-30,4.0,4.0,53.333333333333336,3.3731250000000004,1976,Nov,1976,Nov
1976-12-31,5.0,3.0,29.03225806451613,6.337777777777777,1976,Dec,1976,Dec
1977-01-31,6.0,2.0,35.483870967741936,7.049090909090908,1977,Jan,1977,Jan
1977-02-28,5.0,4.0,35.714285714285715,6.218999999999999,1977,Feb,1977,Feb
1977-03-31,7.0,3.0,29.03225806451613,10.052222222222223,1977,Mar,1977,Mar
1977-04-30,7.0,4.0,33.33333333333333,7.428999999999999,1977,Apr,1977,Apr
1977-05-31,22.0,1.0,9.67741935483871,8.19,1977,May,1977,May
1977-06-30,8.0,3.0,33.33333333333333,10.853,1977,Jun,1977,Jun
1977-07-31,7.0,2.0,32.25806451612903,7.476000000000001,1977,Jul,1977,Jul
1977-08-31,4.0,3.0,41.935483870967744,6.494615384615386,1977,Aug,1977,Aug
