Date,Temperature maximale
2017-06-29,21.135644912719727
2017-06-30,25.457910537719727
2017-07-01,26.475000381469727
2017-07-02,25.258935928344727
2017-07-03,23.658655166625977
2017-07-04,24.651391983032227
2017-07-05,27.336572647094727
2017-07-06,28.357324600219727
2017-07-07,27.161767959594727
2017-07-08,23.151758193969727
2017-07-09,23.068750381469727
2017-07-10,26.213281631469727
2017-07-11,27.541406631469727
2017-07-12,25.123682022094727
2017-07-13,22.807031631469727
2017-07-14,24.262109756469727
2017-07-15,26.405908584594727
2017-07-16,27.351953506469727
2017-07-17,26.885889053344727
2017-07-18,27.310937881469727
2017-07-19,27.501855850219727
2017-07-20,28.072412490844727
2017-07-21,28.758691787719727
2017-07-22,25.718042373657227
2017-07-23,22.897363662719727
2017-07-24,20.286279678344727
2017-07-25,23.132959365844727
